M21a8b;67893525803;616N1;Contoz;2;1.50;7/6/22
Lac159;63775217470;0K54K;Mrpotato;2;5.00;7/6/22
Ma2982;75097737336;9972N;Rollercoaster;1;5.00;8/6/22
M1319b;14782099276;838J4;Mimi;2;1.00;8/6/22
L69523;85139683439;J9M71;Biskut;1;3.00;8/6/22
M23579;72832359358;50L7L;Cracker;1;3.00;8/6/22
L38ba1;85906518580;3K609;Cookies;1;4.00;8/6/22
L32223;85933583045;6MLN8;Cake;2;6.00;8/6/22
La86b8;19824456849;K90K0;Muffin;2;3.00;8/6/22
M52c73;49139467170;079N7;Necklace;2;18.00;8/6/22
M6994a;63294244315;23063;Earring;3;21.00;8/6/22
M4975c;52323840134;3K9KN;Bracelet;9;27.00;8/6/22
M23b23;14605775457;4691J;Bangle;5;25.00;8/6/22
M10b11;10874786111;L99LL;Charm;1;10.00;8/6/22
M89519;41802382723;05JJK;Pendant;3;30.00;8/6/22
M30a5a;54722869764;74N9L;Scrunchies;2;3.00;8/6/22
L6973b;68257719071;99062;Bow;7;21.00;8/6/22
L78260;27563536125;0KJ0M;Clip Claw;6;17.00;9/6/22
L35ac6;28827200559;5JM76;Mask Extension;8;24.00;9/6/22
L4a253;26319644919;J455N;Flower Bouquet;5;90.00;9/6/22
L5cac8;96304040478;J28L2;White Chocolate;11;33.00;9/6/22
L542aa;69019561895;M4501;Dark Chocolate;6;7.00;9/6/22
L9a4a6;64234871578;MNJMM;Milk Chocolate;8;69.00;9/6/22
L489a9;54146073514;91789;Caramel Pudding;4;49.00;9/6/22
La6257;00834870449;695KK;Macaron;7;89.00;9/6/22
L560cb;02570821904;8L446;Cookies;3;30.00;9/6/22
M0866a;75611870719;616L0;Brownies;4;12.00;9/6/22
M48580;45782648486;6080L;ButterCake;9;13.50;9/6/22
L1b957;69570543175;M8012;MoistCake;1;30.00;9/6/22
